symbol,timestamp,expiration,expiration_date,strike,contractType,bid,ask,last,open_interest,volume,delta,gamma,theta,vega,rho,implied_volatility
AMD,2025-08-08 12:19:38.417065,20250808,2025-08-08,160.0,PUT,0.01,0.02,0.02,27432,2944,-0.009,0.005,-0.015,0.001,0.0,122.982
AMD,2025-08-08 12:19:38.417065,20250808,2025-08-08,162.5,PUT,0.01,0.02,0.01,6211,3631,-0.011,0.007,-0.015,0.001,0.0,98.55
AMD,2025-08-08 12:19:38.417065,20250808,2025-08-08,165.0,PUT,0.01,0.02,0.02,12895,7943,-0.014,0.012,-0.015,0.001,0.0,73.513
AMD,2025-08-08 12:19:38.417065,20250808,2025-08-08,167.5,PUT,0.04,0.05,0.04,10678,6656,-0.039,0.038,-0.035,0.003,0.0,55.255
AMD,2025-08-08 12:19:38.417065,20250808,2025-08-08,170.0,PUT,0.26,0.28,0.26,12535,43192,-0.226,0.161,-0.245,0.012,0.0,46.041
AMD,2025-08-08 12:19:38.417065,20250808,2025-08-08,172.5,PUT,1.46,1.5,1.45,5018,62344,-0.733,0.187,-0.295,0.013,-0.001,43.38
AMD,2025-08-08 12:19:38.417065,20250808,2025-08-08,175.0,PUT,3.7,3.8,3.75,5331,34216,-0.943,0.051,-0.065,0.005,-0.001,55.546
AMD,2025-08-08 12:19:38.417065,20250808,2025-08-08,177.5,PUT,6.15,6.3,5.71,2992,3580,-0.978,0.018,-0.035,0.002,-0.001,73.384
AMD,2025-08-08 12:19:38.417065,20250808,2025-08-08,180.0,PUT,8.65,8.75,8.15,4431,1946,-0.983,0.011,-0.035,0.002,-0.001,97.543
AMD,2025-08-08 12:19:38.417065,20250808,2025-08-08,182.5,PUT,11.05,11.3,11.03,539,361,-0.99,0.006,-0.024,0.001,-0.001,112.447
AMD,2025-08-08 12:19:38.417065,20250808,2025-08-08,185.0,PUT,13.6,13.8,11.09,85,222,-0.997,0.002,-0.015,0.0,-0.001,118.68
AMD,2025-08-08 12:19:38.417065,20250808,2025-08-08,187.5,PUT,15.85,16.45,14.4,24,14,-0.997,0.002,-0.015,0.0,-0.001,137.216
AMD,2025-08-08 12:19:38.417065,20250808,2025-08-08,190.0,PUT,18.4,19.0,17.0,31,12,-0.997,0.001,-0.015,0.0,-0.001,155.262
AMD,2025-08-08 12:19:38.417065,20250808,2025-08-08,192.5,PUT,20.95,21.45,19.6,0,0,-0.998,0.001,-0.015,0.0,-0.001,172.87
AMD,2025-08-08 12:19:38.417065,20250808,2025-08-08,195.0,PUT,23.45,23.9,22.15,8,1,-0.998,0.001,-0.015,0.0,-0.001,190.084
AMD,2025-08-08 12:19:38.417065,20250808,2025-08-08,197.5,PUT,26.05,26.45,25.9,1,0,-0.998,0.001,-0.015,0.0,-0.001,206.926
AMD,2025-08-08 12:19:38.417065,20250808,2025-08-08,200.0,PUT,28.5,28.85,28.0,99,12,-0.998,0.001,-0.015,0.0,-0.001,223.43
AMD,2025-08-08 12:19:38.417065,20250808,2025-08-08,202.5,PUT,30.95,31.45,25.45,0,0,-0.998,0.001,-0.015,0.0,-0.001,239.61
AMD,2025-08-08 12:19:38.417065,20250808,2025-08-08,205.0,PUT,33.45,33.9,30.13,0,2,-0.998,0.001,-0.015,0.0,-0.001,255.489
AMD,2025-08-08 12:19:38.417065,20250808,2025-08-08,207.5,PUT,35.95,36.45,44.07,0,0,-0.998,0.0,-0.015,0.0,-0.001,271.079
AMD,2025-08-08 12:19:38.417065,20250815,2025-08-15,144.0,CALL,27.45,27.6,27.85,191,41,1.0,0.0,0.0,0.0,0.959,60.129
AMD,2025-08-08 12:19:38.417065,20250815,2025-08-15,145.0,CALL,26.5,26.6,26.67,9236,356,1.0,0.0,0.0,0.0,1.059,58.963
AMD,2025-08-08 12:19:38.417065,20250815,2025-08-15,146.0,CALL,25.5,25.65,25.94,236,43,1.0,0.0,0.0,0.0,1.159,57.703
AMD,2025-08-08 12:19:38.417065,20250815,2025-08-15,147.0,CALL,24.5,24.65,24.9,144,98,1.0,0.0,0.0,0.0,1.26,56.36
AMD,2025-08-08 12:19:38.417065,20250815,2025-08-15,148.0,CALL,23.55,23.65,24.4,346,35,1.0,0.0,0.0,0.0,1.36,54.944
AMD,2025-08-08 12:19:38.417065,20250815,2025-08-15,149.0,CALL,22.55,22.7,25.0,183,14,0.942,0.0,-0.013,0.024,1.43,54.085
AMD,2025-08-08 12:19:38.417065,20250815,2025-08-15,150.0,CALL,21.55,21.7,21.73,13787,374,0.941,0.001,-0.055,0.025,1.211,53.061
AMD,2025-08-08 12:19:38.417065,20250815,2025-08-15,152.5,CALL,19.1,19.25,19.43,255,84,0.937,0.004,-0.095,0.028,0.781,50.368
AMD,2025-08-08 12:19:38.417065,20250815,2025-08-15,155.0,CALL,16.75,16.85,17.18,8883,174,0.925,0.008,-0.106,0.033,0.471,48.07
AMD,2025-08-08 12:19:38.417065,20250815,2025-08-15,157.5,CALL,14.35,14.5,14.53,1402,187,0.903,0.013,-0.127,0.041,0.267,46.169
AMD,2025-08-08 12:19:38.417065,20250815,2025-08-15,160.0,CALL,12.15,12.25,12.42,15726,943,0.867,0.019,-0.158,0.051,0.145,44.64
AMD,2025-08-08 12:19:38.417065,20250815,2025-08-15,162.5,CALL,10.0,10.1,10.05,1495,585,0.815,0.025,-0.194,0.064,0.079,43.413
AMD,2025-08-08 12:19:38.417065,20250815,2025-08-15,165.0,CALL,8.05,8.1,8.15,12426,2851,0.747,0.031,-0.232,0.077,0.045,42.542
AMD,2025-08-08 12:19:38.417065,20250815,2025-08-15,167.5,CALL,6.3,6.4,6.32,6246,1087,0.662,0.036,-0.264,0.088,0.029,41.982
AMD,2025-08-08 12:19:38.417065,20250815,2025-08-15,170.0,CALL,4.8,4.85,4.8,10111,8328,0.567,0.039,-0.284,0.095,0.021,41.681
AMD,2025-08-08 12:19:38.417065,20250815,2025-08-15,172.5,CALL,3.55,3.6,3.57,4853,10390,0.47,0.039,-0.295,0.096,0.016,42.839
AMD,2025-08-08 12:19:38.417065,20250815,2025-08-15,175.0,CALL,2.57,2.6,2.6,19237,30314,0.377,0.037,-0.281,0.091,0.013,42.924
AMD,2025-08-08 12:19:38.417065,20250815,2025-08-15,177.5,CALL,1.83,1.85,1.85,7055,12131,0.292,0.033,-0.254,0.083,0.01,43.149
AMD,2025-08-08 12:19:38.417065,20250815,2025-08-15,180.0,CALL,1.28,1.31,1.29,14962,28855,0.222,0.028,-0.22,0.072,0.007,43.758
AMD,2025-08-08 12:19:38.417065,20250815,2025-08-15,182.5,CALL,0.9,0.92,0.91,6118,5424,0.166,0.023,-0.185,0.06,0.005,44.61
AMD,2025-08-08 12:19:38.417065,20250815,2025-08-15,185.0,CALL,0.64,0.65,0.65,20674,10988,0.123,0.019,-0.152,0.049,0.004,45.611
AMD,2025-08-08 12:19:38.417065,20250815,2025-08-15,187.5,CALL,0.46,0.47,0.47,3166,2896,0.092,0.015,-0.125,0.04,0.003,46.915
AMD,2025-08-08 12:19:38.417065,20250815,2025-08-15,190.0,CALL,0.34,0.35,0.35,19215,7750,0.069,0.011,-0.102,0.032,0.002,48.344
AMD,2025-08-08 12:19:38.417065,20250815,2025-08-15,192.5,CALL,0.25,0.26,0.26,3250,1168,0.052,0.009,-0.083,0.026,0.002,49.767
AMD,2025-08-08 12:19:38.417065,20250815,2025-08-15,195.0,CALL,0.19,0.2,0.19,13089,1597,0.04,0.007,-0.068,0.021,0.001,51.42
AMD,2025-08-08 12:19:38.417065,20250815,2025-08-15,197.5,CALL,0.14,0.16,0.14,874,738,0.031,0.005,-0.056,0.017,0.001,53.02
AMD,2025-08-08 12:19:38.417065,20250815,2025-08-15,200.0,CALL,0.11,0.12,0.12,19274,3593,0.024,0.004,-0.046,0.014,0.001,54.49
AMD,2025-08-08 12:19:38.417065,20250815,2025-08-15,202.5,CALL,0.09,0.1,0.09,1334,543,0.02,0.003,-0.039,0.011,0.001,56.483
AMD,2025-08-08 12:19:38.417065,20250815,2025-08-15,205.0,CALL,0.06,0.08,0.08,2645,399,0.015,0.003,-0.031,0.009,0.0,57.449
AMD,2025-08-08 12:19:38.417065,20250815,2025-08-15,207.5,CALL,0.05,0.06,0.05,496,136,0.012,0.002,-0.025,0.007,0.0,58.893
AMD,2025-08-08 12:19:38.417065,20250815,2025-08-15,144.0,PUT,0.09,0.1,0.1,1516,141,-0.018,0.003,-0.039,0.011,-0.001,60.129
AMD,2025-08-08 12:19:38.417065,20250815,2025-08-15,145.0,PUT,0.1,0.11,0.1,8020,395,-0.02,0.003,-0.042,0.012,-0.001,58.963
AMD,2025-08-08 12:19:38.417065,20250815,2025-08-15,146.0,PUT,0.11,0.12,0.11,708,223,-0.022,0.004,-0.045,0.013,-0.001,57.703
AMD,2025-08-08 12:19:38.417065,20250815,2025-08-15,147.0,PUT,0.12,0.13,0.1,1058,263,-0.024,0.004,-0.048,0.014,-0.001,56.36
AMD,2025-08-08 12:19:38.417065,20250815,2025-08-15,148.0,PUT,0.14,0.15,0.12,2432,37,-0.026,0.005,-0.05,0.015,-0.001,54.944
AMD,2025-08-08 12:19:38.417065,20250815,2025-08-15,149.0,PUT,0.15,0.16,0.15,2205,59,-0.03,0.005,-0.056,0.016,-0.001,54.085
AMD,2025-08-08 12:19:38.417065,20250815,2025-08-15,150.0,PUT,0.17,0.18,0.18,9875,1079,-0.034,0.006,-0.061,0.018,-0.001,53.061
AMD,2025-08-08 12:19:38.417065,20250815,2025-08-15,152.5,PUT,0.23,0.24,0.23,1685,438,-0.046,0.008,-0.076,0.023,-0.002,50.368
AMD,2025-08-08 12:19:38.417065,20250815,2025-08-15,155.0,PUT,0.33,0.34,0.33,8449,2476,-0.064,0.011,-0.096,0.03,-0.002,48.07
AMD,2025-08-08 12:19:38.417065,20250815,2025-08-15,157.5,PUT,0.48,0.5,0.49,3960,1384,-0.091,0.015,-0.122,0.039,-0.003,46.169
AMD,2025-08-08 12:19:38.417065,20250815,2025-08-15,160.0,PUT,0.72,0.73,0.71,15173,4800,-0.129,0.02,-0.156,0.051,-0.005,44.64
AMD,2025-08-08 12:19:38.417065,20250815,2025-08-15,162.5,PUT,1.07,1.1,1.07,3028,3038,-0.183,0.025,-0.194,0.064,-0.006,43.413
AMD,2025-08-08 12:19:38.417065,20250815,2025-08-15,165.0,PUT,1.6,1.63,1.62,8370,9030,-0.252,0.031,-0.232,0.077,-0.009,42.542
AMD,2025-08-08 12:19:38.417065,20250815,2025-08-15,167.5,PUT,2.35,2.38,2.35,3000,4526,-0.337,0.036,-0.264,0.088,-0.012,41.982
AMD,2025-08-08 12:19:38.417065,20250815,2025-08-15,170.0,PUT,3.35,3.4,3.35,7177,18559,-0.433,0.039,-0.284,0.095,-0.016,41.681
AMD,2025-08-08 12:19:38.417065,20250815,2025-08-15,172.5,PUT,4.55,4.65,4.6,1384,7270,-0.53,0.039,-0.295,0.096,-0.021,42.839
AMD,2025-08-08 12:19:38.417065,20250815,2025-08-15,175.0,PUT,6.1,6.2,6.0,5564,7117,-0.623,0.037,-0.281,0.091,-0.029,42.924
AMD,2025-08-08 12:19:38.417065,20250815,2025-08-15,177.5,PUT,7.85,7.95,7.35,982,2136,-0.708,0.033,-0.254,0.083,-0.044,43.149
AMD,2025-08-08 12:19:38.417065,20250815,2025-08-15,180.0,PUT,9.8,9.9,9.4,1957,1710,-0.778,0.028,-0.22,0.072,-0.071,43.758
AMD,2025-08-08 12:19:38.417065,20250815,2025-08-15,182.5,PUT,11.95,12.05,11.7,462,132,-0.834,0.023,-0.186,0.06,-0.121,44.61
AMD,2025-08-08 12:19:38.417065,20250815,2025-08-15,185.0,PUT,14.15,14.3,14.1,553,365,-0.877,0.019,-0.153,0.049,-0.21,45.611
AMD,2025-08-08 12:19:38.417065,20250815,2025-08-15,187.5,PUT,16.5,16.65,15.8,50,87,-0.908,0.015,-0.125,0.04,-0.354,46.915
AMD,2025-08-08 12:19:38.417065,20250815,2025-08-15,190.0,PUT,18.9,19.0,18.15,768,124,-0.931,0.011,-0.102,0.032,-0.571,48.344
AMD,2025-08-08 12:19:38.417065,20250815,2025-08-15,192.5,PUT,21.3,21.45,20.45,87,28,-0.948,0.009,-0.083,0.026,-0.887,49.767
AMD,2025-08-08 12:19:38.417065,20250815,2025-08-15,195.0,PUT,23.75,23.85,23.25,145,50,-0.96,0.007,-0.068,0.021,-1.306,51.42
AMD,2025-08-08 12:19:38.417065,20250815,2025-08-15,197.5,PUT,26.0,26.45,25.55,63,38,-0.969,0.005,-0.056,0.017,-1.515,53.02
AMD,2025-08-08 12:19:38.417065,20250815,2025-08-15,200.0,PUT,28.7,28.8,26.45,79,10,-0.976,0.004,-0.046,0.014,-1.165,54.49
AMD,2025-08-08 12:19:38.417065,20250815,2025-08-15,202.5,PUT,30.8,31.5,28.5,4,0,-0.98,0.003,-0.04,0.011,-0.965,56.483
AMD,2025-08-08 12:19:38.417065,20250815,2025-08-15,205.0,PUT,33.5,33.95,31.45,4,27,-0.985,0.003,-0.031,0.009,-0.715,57.449
AMD,2025-08-08 12:19:38.417065,20250815,2025-08-15,207.5,PUT,35.65,36.7,31.7,0,0,-0.988,0.002,-0.026,0.007,-0.567,58.893
AMD,2025-08-08 12:19:38.417065,20250822,2025-08-22,144.0,CALL,27.45,28.05,29.9,157,1,0.962,0.005,-0.05,0.028,0.053,51.312
AMD,2025-08-08 12:19:38.417065,20250822,2025-08-22,145.0,CALL,26.5,26.95,27.85,279,30,0.958,0.005,-0.053,0.03,0.053,50.48
AMD,2025-08-08 12:19:38.417065,20250822,2025-08-22,146.0,CALL,25.75,26.2,28.28,111,10,0.954,0.006,-0.057,0.033,0.054,49.875
AMD,2025-08-08 12:19:38.417065,20250822,2025-08-22,147.0,CALL,24.85,25.1,26.82,172,21,0.949,0.006,-0.061,0.036,0.054,49.16
AMD,2025-08-08 12:19:38.417065,20250822,2025-08-22,148.0,CALL,23.9,24.15,23.9,228,48,0.943,0.007,-0.065,0.038,0.054,48.478
AMD,2025-08-08 12:19:38.417065,20250822,2025-08-22,149.0,CALL,22.95,23.2,25.03,61,1,0.937,0.008,-0.07,0.042,0.054,47.932
AMD,2025-08-08 12:19:38.417065,20250822,2025-08-22,150.0,CALL,22.0,22.2,22.1,405,131,0.93,0.008,-0.075,0.045,0.053,47.26
AMD,2025-08-08 12:19:38.417065,20250822,2025-08-22,152.5,CALL,19.7,19.9,20.2,214,36,0.909,0.011,-0.089,0.055,0.053,46.031
AMD,2025-08-08 12:19:38.417065,20250822,2025-08-22,155.0,CALL,17.25,17.75,18.55,1049,46,0.881,0.013,-0.106,0.067,0.052,44.902
AMD,2025-08-08 12:19:38.417065,20250822,2025-08-22,157.5,CALL,15.25,15.5,17.25,588,67,0.846,0.016,-0.125,0.08,0.051,43.9
AMD,2025-08-08 12:19:38.417065,20250822,2025-08-22,160.0,CALL,13.15,13.4,13.48,1669,163,0.803,0.019,-0.144,0.094,0.048,43.161
AMD,2025-08-08 12:19:38.417065,20250822,2025-08-22,162.5,CALL,11.3,11.4,11.9,984,324,0.751,0.022,-0.163,0.107,0.046,42.511
AMD,2025-08-08 12:19:38.417065,20250822,2025-08-22,165.0,CALL,9.5,9.6,9.61,1658,380,0.692,0.025,-0.179,0.119,0.043,41.936
AMD,2025-08-08 12:19:38.417065,20250822,2025-08-22,167.5,CALL,7.9,8.0,8.0,675,363,0.627,0.027,-0.191,0.128,0.039,41.558
AMD,2025-08-08 12:19:38.417065,20250822,2025-08-22,170.0,CALL,6.45,6.55,6.6,3407,887,0.557,0.028,-0.197,0.133,0.035,41.176
AMD,2025-08-08 12:19:38.417065,20250822,2025-08-22,172.5,CALL,5.25,5.3,5.28,1519,1805,0.487,0.027,-0.209,0.135,0.03,43.085
AMD,2025-08-08 12:19:38.417065,20250822,2025-08-22,175.0,CALL,4.2,4.25,4.2,4505,4439,0.42,0.027,-0.204,0.132,0.026,43.087
AMD,2025-08-08 12:19:38.417065,20250822,2025-08-22,177.5,CALL,3.3,3.4,3.35,1248,1259,0.357,0.026,-0.195,0.126,0.022,43.205
AMD,2025-08-08 12:19:38.417065,20250822,2025-08-22,180.0,CALL,2.61,2.65,2.7,3981,3377,0.298,0.024,-0.181,0.117,0.019,43.348
AMD,2025-08-08 12:19:38.417065,20250822,2025-08-22,182.5,CALL,2.05,2.07,2.07,805,902,0.247,0.021,-0.166,0.107,0.016,43.716
AMD,2025-08-08 12:19:38.417065,20250822,2025-08-22,185.0,CALL,1.6,1.63,1.65,2053,1572,0.203,0.019,-0.149,0.095,0.013,44.146
AMD,2025-08-08 12:19:38.417065,20250822,2025-08-22,187.5,CALL,1.26,1.28,1.33,381,1297,0.165,0.016,-0.132,0.084,0.011,44.729
AMD,2025-08-08 12:19:38.417065,20250822,2025-08-22,190.0,CALL,0.99,1.01,1.0,2183,1036,0.135,0.014,-0.117,0.073,0.009,45.491
AMD,2025-08-08 12:19:38.417065,20250822,2025-08-22,192.5,CALL,0.78,0.8,0.82,640,95,0.11,0.012,-0.102,0.063,0.007,46.173
AMD,2025-08-08 12:19:38.417065,20250822,2025-08-22,195.0,CALL,0.62,0.64,0.66,1073,293,0.089,0.01,-0.089,0.054,0.006,46.939
AMD,2025-08-08 12:19:38.417065,20250822,2025-08-22,197.5,CALL,0.5,0.52,0.56,244,32,0.073,0.009,-0.078,0.047,0.005,47.917
AMD,2025-08-08 12:19:38.417065,20250822,2025-08-22,200.0,CALL,0.4,0.42,0.42,2872,732,0.06,0.007,-0.067,0.04,0.004,48.777
AMD,2025-08-08 12:19:38.417065,20250822,2025-08-22,205.0,CALL,0.26,0.28,0.28,815,147,0.041,0.005,-0.05,0.029,0.003,50.554
AMD,2025-08-08 12:19:38.417065,20250822,2025-08-22,210.0,CALL,0.18,0.2,0.18,661,77,0.029,0.004,-0.039,0.022,0.002,52.742
AMD,2025-08-08 12:19:38.417065,20250822,2025-08-22,215.0,CALL,0.12,0.14,0.13,1035,476,0.02,0.003,-0.029,0.016,0.001,54.484
AMD,2025-08-08 12:19:38.417065,20250822,2025-08-22,144.0,PUT,0.27,0.29,0.27,199,41,-0.038,0.005,-0.049,0.028,-0.003,51.312
AMD,2025-08-08 12:19:38.417065,20250822,2025-08-22,145.0,PUT,0.3,0.32,0.27,725,109,-0.042,0.005,-0.052,0.03,-0.003,50.48
AMD,2025-08-08 12:19:38.417065,20250822,2025-08-22,146.0,PUT,0.33,0.35,0.33,192,16,-0.046,0.006,-0.056,0.033,-0.003,49.875
AMD,2025-08-08 12:19:38.417065,20250822,2025-08-22,147.0,PUT,0.37,0.39,0.32,364,48,-0.051,0.006,-0.06,0.036,-0.004,49.16
AMD,2025-08-08 12:19:38.417065,20250822,2025-08-22,148.0,PUT,0.41,0.43,0.34,274,19,-0.057,0.007,-0.064,0.039,-0.004,48.478
AMD,2025-08-08 12:19:38.417065,20250822,2025-08-22,149.0,PUT,0.45,0.48,0.41,239,10,-0.063,0.008,-0.069,0.042,-0.004,47.932
AMD,2025-08-08 12:19:38.417065,20250822,2025-08-22,150.0,PUT,0.51,0.53,0.52,2365,413,-0.07,0.008,-0.074,0.045,-0.005,47.26
AMD,2025-08-08 12:19:38.417065,20250822,2025-08-22,152.5,PUT,0.68,0.71,0.63,858,193,-0.091,0.011,-0.089,0.056,-0.006,46.031
AMD,2025-08-08 12:19:38.417065,20250822,2025-08-22,155.0,PUT,0.92,0.95,0.83,20987,458,-0.119,0.013,-0.105,0.067,-0.008,44.902
AMD,2025-08-08 12:19:38.417065,20250822,2025-08-22,157.5,PUT,1.23,1.27,1.22,1090,278,-0.154,0.016,-0.124,0.08,-0.011,43.9
AMD,2025-08-08 12:19:38.417065,20250822,2025-08-22,160.0,PUT,1.66,1.7,1.68,2461,718,-0.197,0.019,-0.143,0.094,-0.014,43.161
AMD,2025-08-08 12:19:38.417065,20250822,2025-08-22,162.5,PUT,2.22,2.26,2.22,2023,426,-0.249,0.022,-0.162,0.107,-0.017,42.511
AMD,2025-08-08 12:19:38.417065,20250822,2025-08-22,165.0,PUT,2.92,2.97,2.95,1937,1421,-0.308,0.025,-0.178,0.119,-0.021,41.936
AMD,2025-08-08 12:19:38.417065,20250822,2025-08-22,167.5,PUT,3.8,3.9,3.65,883,2870,-0.373,0.027,-0.19,0.128,-0.026,41.558
AMD,2025-08-08 12:19:38.417065,20250822,2025-08-22,170.0,PUT,4.9,4.95,4.87,2163,3409,-0.443,0.028,-0.197,0.133,-0.031,41.176
AMD,2025-08-08 12:19:38.417065,20250822,2025-08-22,172.5,PUT,6.1,6.2,5.76,820,1082,-0.513,0.027,-0.208,0.135,-0.035,43.085
AMD,2025-08-08 12:19:38.417065,20250822,2025-08-22,175.0,PUT,7.55,7.65,7.59,989,671,-0.58,0.027,-0.203,0.132,-0.039,43.087
AMD,2025-08-08 12:19:38.417065,20250822,2025-08-22,177.5,PUT,9.2,9.3,8.67,393,526,-0.643,0.025,-0.194,0.126,-0.043,43.205
AMD,2025-08-08 12:19:38.417065,20250822,2025-08-22,180.0,PUT,10.95,11.1,10.8,707,159,-0.701,0.023,-0.18,0.117,-0.046,43.348
